Name,Phone,Email
Amit Kumar,9876543210,amit@example.com
Neha Sharma,9876543211,neha@example.com
Rahul Singh,9876543212,rahul@example.com
Pooja Patel,9876543213,pooja@example.com
Vikram Verma,9876543214,vikram@example.com
Sneha Gupta,9876543215,sneha@example.com
Ravi Desai,9876543216,ravi@example.com
Anjali Reddy,9876543217,anjali@example.com
Suresh Nair,9876543218,suresh@example.com
Kavita Iyer,9876543219,kavita@example.com
Deepak Menon,9876543220,deepak@example.com
Sunita Pillai,9876543221,sunita@example.com
Manoj Das,9876543222,manoj@example.com
Geeta Rao,9876543223,geeta@example.com
Rajesh Joshi,9876543224,rajesh@example.com
